iteration 386 performed, best fitness : 1380.07
iteration 387 performed, best fitness : 1380.73
iteration 388 performed, best fitness : 1380.25
iteration 389 performed, best fitness : 1379.81
iteration 390 performed, best fitness : 1379.98
iteration 391 performed, best fitness : 1380.68
iteration 392 performed, best fitness : 1380.03
iteration 393 performed, best fitness : 1380.65
iteration 394 performed, best fitness : 1379.96
iteration 395 performed, best fitness : 1380.93
iteration 396 performed, best fitness : 1380.41
iteration 397 performed, best fitness : 1381.2
iteration 398 performed, best fitness : 1380.87
iteration 399 performed, best fitness : 1380.67
iteration 400 performed, best fitness : 1380.53
iteration 401 performed, best fitness : 1380.59
iteration 402 performed, best fitness : 1380.23
iteration 403 performed, best fitness : 1380.39
iteration 404 performed, best fitness : 1380.27
iteration 405 performed, best fitness : 1381.94
iteration 406 performed, best fitness : 1381.13
iteration 407 performed, best fitness : 1381.41
iteration 408 performed, best fitness : 1381.38
iteration 409 performed, best fitness : 1381
iteration 410 performed, best fitness : 1381.81
iteration 411 performed, best fitness : 1381.27
iteration 412 performed, best fitness : 1380.64
iteration 413 performed, best fitness : 1380.6
iteration 414 performed, best fitness : 1381.12
iteration 415 performed, best fitness : 1380.57
iteration 416 performed, best fitness : 1381.63
iteration 417 performed, best fitness : 1381.1
iteration 418 performed, best fitness : 1382.08
iteration 419 performed, best fitness : 1381.45
iteration 420 performed, best fitness : 1381.45
iteration 421 performed, best fitness : 1381.45
iteration 422 performed, best fitness : 1382.1
iteration 423 performed, best fitness : 1382.54
iteration 424 performed, best fitness : 1382.75
iteration 425 performed, best fitness : 1381.88
iteration 426 performed, best fitness : 1383.19
iteration 427 performed, best fitness : 1382.56
iteration 428 performed, best fitness : 1382.3
iteration 429 performed, best fitness : 1383
iteration 430 performed, best fitness : 1382.53
iteration 431 performed, best fitness : 1382.85
iteration 432 performed, best fitness : 1384.05
iteration 433 performed, best fitness : 1382.64
iteration 434 performed, best fitness : 1383.27
iteration 435 performed, best fitness : 1383.89
iteration 436 performed, best fitness : 1382.6
iteration 437 performed, best fitness : 1381.94
iteration 438 performed, best fitness : 1382.7
iteration 439 performed, best fitness : 1382.74
iteration 440 performed, best fitness : 1383.59
iteration 441 performed, best fitness : 1382.49
iteration 442 performed, best fitness : 1381.82
iteration 443 performed, best fitness : 1383.23
iteration 444 performed, best fitness : 1382.25
iteration 445 performed, best fitness : 1382.5
iteration 446 performed, best fitness : 1382.95
iteration 447 performed, best fitness : 1381.96
iteration 448 performed, best fitness : 1382.29
iteration 449 performed, best fitness : 1383.17
