iteration 544 performed, best fitness : 1096.46
iteration 545 performed, best fitness : 1096.91
iteration 546 performed, best fitness : 1096.48
iteration 547 performed, best fitness : 1096.49
iteration 548 performed, best fitness : 1096.53
iteration 549 performed, best fitness : 1096.43
iteration 550 performed, best fitness : 1096.51
iteration 551 performed, best fitness : 1096.64
iteration 552 performed, best fitness : 1096.69
iteration 553 performed, best fitness : 1096.63
iteration 554 performed, best fitness : 1096.73
iteration 555 performed, best fitness : 1096.63
iteration 556 performed, best fitness : 1096.66
iteration 557 performed, best fitness : 1096.62
iteration 558 performed, best fitness : 1096.57
iteration 559 performed, best fitness : 1096.85
iteration 560 performed, best fitness : 1096.73
iteration 561 performed, best fitness : 1096.88
iteration 562 performed, best fitness : 1096.93
iteration 563 performed, best fitness : 1097.03
iteration 564 performed, best fitness : 1096.76
iteration 565 performed, best fitness : 1097.01
iteration 566 performed, best fitness : 1096.9
iteration 567 performed, best fitness : 1097.19
iteration 568 performed, best fitness : 1096.82
iteration 569 performed, best fitness : 1096.75
iteration 570 performed, best fitness : 1096.85
iteration 571 performed, best fitness : 1096.98
iteration 572 performed, best fitness : 1096.59
iteration 573 performed, best fitness : 1096.65
iteration 574 performed, best fitness : 1096.92
iteration 575 performed, best fitness : 1096.8
iteration 576 performed, best fitness : 1096.98
iteration 577 performed, best fitness : 1096.86
iteration 578 performed, best fitness : 1097.06
iteration 579 performed, best fitness : 1097.3
iteration 580 performed, best fitness : 1097.16
iteration 581 performed, best fitness : 1096.97
iteration 582 performed, best fitness : 1096.96
iteration 583 performed, best fitness : 1097.07
iteration 584 performed, best fitness : 1097.08
iteration 585 performed, best fitness : 1096.95
iteration 586 performed, best fitness : 1097.36
iteration 587 performed, best fitness : 1096.96
iteration 588 performed, best fitness : 1097.04
iteration 589 performed, best fitness : 1097.18
iteration 590 performed, best fitness : 1097.19
iteration 591 performed, best fitness : 1096.9
iteration 592 performed, best fitness : 1097.76
iteration 593 performed, best fitness : 1097.75
iteration 594 performed, best fitness : 1097.64
iteration 595 performed, best fitness : 1096.97
iteration 596 performed, best fitness : 1097.02
iteration 597 performed, best fitness : 1097.04
iteration 598 performed, best fitness : 1097.18
iteration 599 performed, best fitness : 1097.09
iteration 600 performed, best fitness : 1097.22
iteration 601 performed, best fitness : 1097.43
iteration 602 performed, best fitness : 1097.02
iteration 603 performed, best fitness : 1097.49
iteration 604 performed, best fitness : 1097.23
iteration 605 performed, best fitness : 1097.16
iteration 606 performed, best fitness : 1097.35
iteration 607 performed, best fitness : 1096.98
iteration 608 performed, best fitness : 1097.15
iteration 609 performed, best fitness : 1097.43
iteration 610 performed, best fitness : 1097.36
iteration 611 performed, best fitness : 1097.45
iteration 612 performed, best fitness : 1097.37
iteration 613 performed, best fitness : 1097.44
iteration 614 performed, best fitness : 1097.36
iteration 615 performed, best fitness : 1097.28
iteration 616 performed, best fitness : 1097.29
iteration 617 performed, best fitness : 1097.35
iteration 618 performed, best fitness : 1097.4
iteration 619 performed, best fitness : 1097.24
iteration 620 performed, best fitness : 1097.24
iteration 621 performed, best fitness : 1097.44
iteration 622 performed, best fitness : 1097.26
iteration 623 performed, best fitness : 1097.33
iteration 624 performed, best fitness : 1097.48
iteration 625 performed, best fitness : 1097.5
iteration 626 performed, best fitness : 1097.52
iteration 627 performed, best fitness : 1097.35
iteration 628 performed, best fitness : 1097.5
iteration 629 performed, best fitness : 1097.65
iteration 630 performed, best fitness : 1097.59
iteration 631 performed, best fitness : 1097.45
iteration 632 performed, best fitness : 1097.63
iteration 633 performed, best fitness : 1097.43
iteration 634 performed, best fitness : 1097.39
iteration 635 performed, best fitness : 1097.4
iteration 636 performed, best fitness : 1097.42
iteration 637 performed, best fitness : 1097.54
iteration 638 performed, best fitness : 1097.58
iteration 639 performed, best fitness : 1097.5
iteration 640 performed, best fitness : 1097.5
iteration 641 performed, best fitness : 1097.84
iteration 642 performed, best fitness : 1097.37
iteration 643 performed, best fitness : 1097.39
iteration 644 performed, best fitness : 1097.79
iteration 645 performed, best fitness : 1097.56
iteration 646 performed, best fitness : 1097.54
iteration 647 performed, best fitness : 1097.52
iteration 648 performed, best fitness : 1097.5
iteration 649 performed, best fitness : 1097.56
iteration 650 performed, best fitness : 1097.57
iteration 651 performed, best fitness : 1097.61
iteration 652 performed, best fitness : 1097.82
iteration 653 performed, best fitness : 1097.46
iteration 654 performed, best fitness : 1097.55
iteration 655 performed, best fitness : 1097.54
iteration 656 performed, best fitness : 1097.64
iteration 657 performed, best fitness : 1097.49
iteration 658 performed, best fitness : 1097.6
iteration 659 performed, best fitness : 1097.49
iteration 660 performed, best fitness : 1097.46
iteration 661 performed, best fitness : 1097.49
iteration 662 performed, best fitness : 1097.53
iteration 663 performed, best fitness : 1097.54
iteration 664 performed, best fitness : 1097.67
iteration 665 performed, best fitness : 1097.65
iteration 666 performed, best fitness : 1097.61
iteration 667 performed, best fitness : 1097.54
iteration 668 performed, best fitness : 1097.62
iteration 669 performed, best fitness : 1097.62
iteration 670 performed, best fitness : 1097.58
iteration 671 performed, best fitness : 1097.54
iteration 672 performed, best fitness : 1097.58
iteration 673 performed, best fitness : 1097.66
iteration 674 performed, best fitness : 1097.69
iteration 675 performed, best fitness : 1097.67
iteration 676 performed, best fitness : 1097.62
iteration 677 performed, best fitness : 1097.72
iteration 678 performed, best fitness : 1097.74
iteration 679 performed, best fitness : 1097.74
