iteration 364 performed, best fitness : 1387.87
iteration 365 performed, best fitness : 1387.38
iteration 366 performed, best fitness : 1387.29
iteration 367 performed, best fitness : 1387.82
iteration 368 performed, best fitness : 1388.11
iteration 369 performed, best fitness : 1387.85
iteration 370 performed, best fitness : 1387.58
iteration 371 performed, best fitness : 1387.46
iteration 372 performed, best fitness : 1387.86
iteration 373 performed, best fitness : 1388.24
iteration 374 performed, best fitness : 1387.58
iteration 375 performed, best fitness : 1387.67
iteration 376 performed, best fitness : 1387.5
iteration 377 performed, best fitness : 1387.97
iteration 378 performed, best fitness : 1388.24
iteration 379 performed, best fitness : 1388.74
iteration 380 performed, best fitness : 1388.18
iteration 381 performed, best fitness : 1387.59
iteration 382 performed, best fitness : 1388.61
iteration 383 performed, best fitness : 1388.15
iteration 384 performed, best fitness : 1388.19
iteration 385 performed, best fitness : 1388.21
iteration 386 performed, best fitness : 1387.62
iteration 387 performed, best fitness : 1389.19
iteration 388 performed, best fitness : 1388.09
iteration 389 performed, best fitness : 1387.72
iteration 390 performed, best fitness : 1388.35
iteration 391 performed, best fitness : 1388.71
iteration 392 performed, best fitness : 1388.88
iteration 393 performed, best fitness : 1388.33
iteration 394 performed, best fitness : 1389.47
iteration 395 performed, best fitness : 1389.92
iteration 396 performed, best fitness : 1389.06
iteration 397 performed, best fitness : 1389.11
iteration 398 performed, best fitness : 1388.64
iteration 399 performed, best fitness : 1389.43
iteration 400 performed, best fitness : 1389.12
iteration 401 performed, best fitness : 1389.85
iteration 402 performed, best fitness : 1390.12
iteration 403 performed, best fitness : 1389.75
iteration 404 performed, best fitness : 1389.7
iteration 405 performed, best fitness : 1389.46
iteration 406 performed, best fitness : 1389.99
iteration 407 performed, best fitness : 1389.68
iteration 408 performed, best fitness : 1390.36
iteration 409 performed, best fitness : 1390.66
iteration 410 performed, best fitness : 1389.75
iteration 411 performed, best fitness : 1389.44
iteration 412 performed, best fitness : 1389.65
iteration 413 performed, best fitness : 1389.6
iteration 414 performed, best fitness : 1390.01
iteration 415 performed, best fitness : 1390.34
iteration 416 performed, best fitness : 1389.82
iteration 417 performed, best fitness : 1390.45
iteration 418 performed, best fitness : 1390.33
iteration 419 performed, best fitness : 1390.71
iteration 420 performed, best fitness : 1390.61
iteration 421 performed, best fitness : 1390.32
iteration 422 performed, best fitness : 1390.06
iteration 423 performed, best fitness : 1390.2
iteration 424 performed, best fitness : 1390.14
iteration 425 performed, best fitness : 1390.28
iteration 426 performed, best fitness : 1390.7
iteration 427 performed, best fitness : 1390.35
iteration 428 performed, best fitness : 1390.96
iteration 429 performed, best fitness : 1390.78
iteration 430 performed, best fitness : 1390.46
iteration 431 performed, best fitness : 1390.02
iteration 432 performed, best fitness : 1390.86
iteration 433 performed, best fitness : 1390.63
iteration 434 performed, best fitness : 1390.17
iteration 435 performed, best fitness : 1390.48
iteration 436 performed, best fitness : 1390.7
iteration 437 performed, best fitness : 1390.89
iteration 438 performed, best fitness : 1391.04
iteration 439 performed, best fitness : 1391.03
iteration 440 performed, best fitness : 1390.96
iteration 441 performed, best fitness : 1390.49
iteration 442 performed, best fitness : 1390.83
iteration 443 performed, best fitness : 1391.55
iteration 444 performed, best fitness : 1390.8
iteration 445 performed, best fitness : 1391.83
iteration 446 performed, best fitness : 1391.14
iteration 447 performed, best fitness : 1391.87
iteration 448 performed, best fitness : 1390.86
iteration 449 performed, best fitness : 1390.93
iteration 450 performed, best fitness : 1390.47
iteration 451 performed, best fitness : 1390.82
iteration 452 performed, best fitness : 1390.73
iteration 453 performed, best fitness : 1390.39
iteration 454 performed, best fitness : 1390.9
iteration 455 performed, best fitness : 1390.31
iteration 456 performed, best fitness : 1389.65
iteration 457 performed, best fitness : 1390.31
iteration 458 performed, best fitness : 1390.06
iteration 459 performed, best fitness : 1390.29
iteration 460 performed, best fitness : 1391.53
iteration 461 performed, best fitness : 1389.93
iteration 462 performed, best fitness : 1390.9
iteration 463 performed, best fitness : 1390.56
iteration 464 performed, best fitness : 1390.79
iteration 465 performed, best fitness : 1390.59
iteration 466 performed, best fitness : 1390.08
iteration 467 performed, best fitness : 1390.74
