iteration 390 performed, best fitness : 650.019
iteration 391 performed, best fitness : 647.559
iteration 392 performed, best fitness : 640.169
iteration 393 performed, best fitness : 600.365
iteration 394 performed, best fitness : 613.938
iteration 395 performed, best fitness : 666.956
iteration 396 performed, best fitness : 658.374
iteration 397 performed, best fitness : 608.557
iteration 398 performed, best fitness : 655.084
iteration 399 performed, best fitness : 612.307
iteration 400 performed, best fitness : 667.248
iteration 401 performed, best fitness : 692.6
iteration 402 performed, best fitness : 656.091
iteration 403 performed, best fitness : 687.637
iteration 404 performed, best fitness : 626.445
iteration 405 performed, best fitness : 691.947
iteration 406 performed, best fitness : 668.598
iteration 407 performed, best fitness : 651.207
iteration 408 performed, best fitness : 715.729
iteration 409 performed, best fitness : 662.273
iteration 410 performed, best fitness : 639.709
iteration 411 performed, best fitness : 670.189
iteration 412 performed, best fitness : 688.683
iteration 413 performed, best fitness : 708.007
iteration 414 performed, best fitness : 639.503
iteration 415 performed, best fitness : 659.567
iteration 416 performed, best fitness : 708.95
iteration 417 performed, best fitness : 705.024
iteration 418 performed, best fitness : 668.123
iteration 419 performed, best fitness : 701.522
iteration 420 performed, best fitness : 678.756
iteration 421 performed, best fitness : 699.493
iteration 422 performed, best fitness : 631.75
iteration 423 performed, best fitness : 664.53
iteration 424 performed, best fitness : 651.322
iteration 425 performed, best fitness : 702.259
iteration 426 performed, best fitness : 643.797
iteration 427 performed, best fitness : 650.005
iteration 428 performed, best fitness : 642.412
iteration 429 performed, best fitness : 652.076
iteration 430 performed, best fitness : 645.146
iteration 431 performed, best fitness : 671.31
iteration 432 performed, best fitness : 788.724
iteration 433 performed, best fitness : 643.92
iteration 434 performed, best fitness : 668.727
iteration 435 performed, best fitness : 644.967
iteration 436 performed, best fitness : 636.73
iteration 437 performed, best fitness : 710.464
iteration 438 performed, best fitness : 666.486
iteration 439 performed, best fitness : 653.968
iteration 440 performed, best fitness : 631.173
iteration 441 performed, best fitness : 654.664
iteration 442 performed, best fitness : 600.613
iteration 443 performed, best fitness : 678.294
iteration 444 performed, best fitness : 666.154
iteration 445 performed, best fitness : 690.765
iteration 446 performed, best fitness : 636.832
iteration 447 performed, best fitness : 645.377
iteration 448 performed, best fitness : 639.012
iteration 449 performed, best fitness : 691.992
iteration 450 performed, best fitness : 683.291
iteration 451 performed, best fitness : 671.108
iteration 452 performed, best fitness : 651.993
iteration 453 performed, best fitness : 671.42
iteration 454 performed, best fitness : 695.541
iteration 455 performed, best fitness : 610.99
iteration 456 performed, best fitness : 766.485
iteration 457 performed, best fitness : 706.675
iteration 458 performed, best fitness : 692.796
iteration 459 performed, best fitness : 664.1
iteration 460 performed, best fitness : 718.576
iteration 461 performed, best fitness : 674.827
iteration 462 performed, best fitness : 737.743
iteration 463 performed, best fitness : 742.416
iteration 464 performed, best fitness : 695.134
iteration 465 performed, best fitness : 710.422
iteration 466 performed, best fitness : 668.185
iteration 467 performed, best fitness : 701.632
iteration 468 performed, best fitness : 703.143
iteration 469 performed, best fitness : 713.53
iteration 470 performed, best fitness : 719.82
iteration 471 performed, best fitness : 711.217
iteration 472 performed, best fitness : 825.723
iteration 473 performed, best fitness : 783.442
iteration 474 performed, best fitness : 711.309
iteration 475 performed, best fitness : 686.774
iteration 476 performed, best fitness : 755.43
iteration 477 performed, best fitness : 720.564
iteration 478 performed, best fitness : 637.129
iteration 479 performed, best fitness : 749.327
iteration 480 performed, best fitness : 731.805
iteration 481 performed, best fitness : 763.841
iteration 482 performed, best fitness : 734.174
iteration 483 performed, best fitness : 700.883
iteration 484 performed, best fitness : 702.383
iteration 485 performed, best fitness : 740.797
iteration 486 performed, best fitness : 704.362
iteration 487 performed, best fitness : 714.455
iteration 488 performed, best fitness : 694.709
iteration 489 performed, best fitness : 769.842
iteration 490 performed, best fitness : 729.895
iteration 491 performed, best fitness : 728.934
iteration 492 performed, best fitness : 772.632
iteration 493 performed, best fitness : 688.521
iteration 494 performed, best fitness : 696.1
iteration 495 performed, best fitness : 690.991
iteration 496 performed, best fitness : 707.771
iteration 497 performed, best fitness : 751.618
iteration 498 performed, best fitness : 734.87
iteration 499 performed, best fitness : 720.671
iteration 500 performed, best fitness : 709.032
iteration 501 performed, best fitness : 788.377
iteration 502 performed, best fitness : 723.623
iteration 503 performed, best fitness : 731.835
